ID_Cliente,Edad,Rango_Edad,Genero,Estado_Civil,Trabajo,Empleo_Desde,Vivienda,Propiedad,Status_Cuenta,Cuenta_Ahorro,Historial_Crediticio,Telefono,Extranjero,Personas_Dependientes,Otros_Deudores,Otros_Planes_Cuota,Categoria_Score,Rango_Monto
1001,67,50+ (Senior),Masculino,Soltero/a,Empleado calificado,>= 7 años,Propia,Bienes raíces,< 0 DM (Sobregiro),Sin cuenta de ahorro,Cuenta crítica / créditos en otros bancos,Sí,Sí,1,Ninguno,Ninguno,Alto Riesgo (501-600),Pequeño (1K-3K)
1002,22,18-25 (Joven),Femenino,Casado/a,Empleado calificado,1 - 4 años,Propia,Bienes raíces,0 - 200 DM (Bajo balance),< 100 DM,Créditos existentes pagados puntualmente,No,Sí,1,Ninguno,Ninguno,Riesgo Medio (601-700),Grande (5K-10K)
1003,49,36-50 (Adulto),Masculino,Soltero/a,No calificado - Residente,4 - 7 años,Propia,Bienes raíces,Sin cuenta corriente,< 100 DM,Cuenta crítica / créditos en otros bancos,No,Sí,2,Ninguno,Ninguno,Alto Riesgo (501-600),Pequeño (1K-3K)
1004,45,36-50 (Adulto),Masculino,Soltero/a,Empleado calificado,4 - 7 años,Gratuita,Seguro de vida / Ahorro,< 0 DM (Sobregiro),< 100 DM,Créditos existentes pagados puntualmente,No,Sí,2,Garante,Ninguno,Alto Riesgo (501-600),Grande (5K-10K)
1005,53,50+ (Senior),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Gratuita,Sin propiedad conocida,< 0 DM (Sobregiro),< 100 DM,Retraso en pagos pasados,No,Sí,2,Ninguno,Ninguno,Muy Alto Riesgo (300-500),Mediano (3K-5K)
1006,35,26-35 (Adulto Joven),Masculino,Soltero/a,No calificado - Residente,1 - 4 años,Gratuita,Sin propiedad conocida,Sin cuenta corriente,Sin cuenta de ahorro,Créditos existentes pagados puntualmente,Sí,Sí,2,Ninguno,Ninguno,Alto Riesgo (501-600),Grande (5K-10K)
1007,53,50+ (Senior),Masculino,Soltero/a,Empleado calificado,>= 7 años,Propia,Seguro de vida / Ahorro,Sin cuenta corriente,500 - 1000 DM,Créditos existentes pagados puntualmente,No,Sí,1,Ninguno,Ninguno,Riesgo Medio (601-700),Pequeño (1K-3K)
1008,35,26-35 (Adulto Joven),Masculino,Soltero/a,Alta gerencia / Autónomo,1 - 4 años,Alquiler,Auto u otros bienes,0 - 200 DM (Bajo balance),< 100 DM,Créditos existentes pagados puntualmente,Sí,Sí,1,Ninguno,Ninguno,Riesgo Medio (601-700),Grande (5K-10K)
1009,61,50+ (Senior),Masculino,Divorciado/a,No calificado - Residente,4 - 7 años,Propia,Bienes raíces,Sin cuenta corriente,>= 1000 DM,Créditos existentes pagados puntualmente,No,Sí,1,Ninguno,Ninguno,Alto Riesgo (501-600),Mediano (3K-5K)
1010,28,26-35 (Adulto Joven),Masculino,Casado/a,Alta gerencia / Autónomo,Desempleado,Propia,Auto u otros bienes,0 - 200 DM (Bajo balance),< 100 DM,Cuenta crítica / créditos en otros bancos,No,Sí,1,Ninguno,Ninguno,Muy Alto Riesgo (300-500),Grande (5K-10K)
