ID_Tiempo,Fecha,Anio,Mes,Nombre_Mes,Trimestre,Dia_Semana,Es_FinDeSemana
1,2023-01-01,2023,1,January,Q1,Sunday,1
2,2023-01-02,2023,1,January,Q1,Monday,0
3,2023-01-03,2023,1,January,Q1,Tuesday,0
4,2023-01-04,2023,1,January,Q1,Wednesday,0
5,2023-01-05,2023,1,January,Q1,Thursday,0
6,2023-01-06,2023,1,January,Q1,Friday,0
7,2023-01-07,2023,1,January,Q1,Saturday,1
8,2023-01-08,2023,1,January,Q1,Sunday,1
9,2023-01-12,2023,1,January,Q1,Thursday,0
10,2023-01-13,2023,1,January,Q1,Friday,0
11,2023-01-14,2023,1,January,Q1,Saturday,1
12,2023-01-15,2023,1,January,Q1,Sunday,1
13,2023-01-17,2023,1,January,Q1,Tuesday,0
14,2023-01-20,2023,1,January,Q1,Friday,0
15,2023-01-21,2023,1,January,Q1,Saturday,1
16,2023-01-24,2023,1,January,Q1,Tuesday,0
17,2023-01-26,2023,1,January,Q1,Thursday,0
18,2023-01-29,2023,1,January,Q1,Sunday,1
19,2023-01-31,2023,1,January,Q1,Tuesday,0
20,2023-02-01,2023,2,February,Q1,Wednesday,0
21,2023-02-05,2023,2,February,Q1,Sunday,1
22,2023-02-09,2023,2,February,Q1,Thursday,0
23,2023-02-10,2023,2,February,Q1,Friday,0
24,2023-02-11,2023,2,February,Q1,Saturday,1
25,2023-02-12,2023,2,February,Q1,Sunday,1
26,2023-02-13,2023,2,February,Q1,Monday,0
27,2023-02-14,2023,2,February,Q1,Tuesday,0
28,2023-02-18,2023,2,February,Q1,Saturday,1
29,2023-02-20,2023,2,February,Q1,Monday,0
30,2023-02-21,2023,2,February,Q1,Tuesday,0
31,2023-02-22,2023,2,February,Q1,Wednesday,0
32,2023-02-24,2023,2,February,Q1,Friday,0
33,2023-02-25,2023,2,February,Q1,Saturday,1
34,2023-02-26,2023,2,February,Q1,Sunday,1
35,2023-02-28,2023,2,February,Q1,Tuesday,0
36,2023-03-01,2023,3,March,Q1,Wednesday,0
37,2023-03-03,2023,3,March,Q1,Friday,0
38,2023-03-05,2023,3,March,Q1,Sunday,1
39,2023-03-06,2023,3,March,Q1,Monday,0
40,2023-03-07,2023,3,March,Q1,Tuesday,0
41,2023-03-08,2023,3,March,Q1,Wednesday,0
42,2023-03-10,2023,3,March,Q1,Friday,0
43,2023-03-15,2023,3,March,Q1,Wednesday,0
44,2023-03-17,2023,3,March,Q1,Friday,0
45,2023-03-20,2023,3,March,Q1,Monday,0
46,2023-03-21,2023,3,March,Q1,Tuesday,0
47,2023-03-22,2023,3,March,Q1,Wednesday,0
48,2023-03-23,2023,3,March,Q1,Thursday,0
49,2023-03-24,2023,3,March,Q1,Friday,0
50,2023-03-26,2023,3,March,Q1,Sunday,1
51,2023-03-27,2023,3,March,Q1,Monday,0
52,2023-03-30,2023,3,March,Q1,Thursday,0
53,2023-03-31,2023,3,March,Q1,Friday,0
54,2023-04-01,2023,4,April,Q2,Saturday,1
