ID_Prestamo,ID_Cliente,ID_Proposito,ID_Tiempo,Monto,Duracion,Tasa,Cuota_Mensual,Creditos_Existentes,Score_Cliente,Estado_Riesgo
1,1001,1,138,1169,6,4,194.83,2,524,Good
2,1002,1,30,5951,48,2,123.98,1,645,Bad
3,1003,2,353,2096,12,2,174.67,1,529,Good
4,1004,3,307,7882,42,2,187.67,1,595,Good
5,1005,4,276,4870,24,3,202.92,2,432,Bad
6,1006,2,172,9055,36,2,251.53,1,512,Good
7,1007,3,126,2835,24,3,118.12,1,697,Good
8,1008,5,108,6948,36,2,193.0,1,633,Good
9,1009,1,533,3059,12,2,254.92,1,585,Good
10,1010,4,40,5234,30,4,174.47,2,476,Bad
11,1011,4,37,1295,12,3,107.92,1,596,Bad
12,1012,6,116,4308,48,3,89.75,1,536,Bad
13,1013,1,269,1567,12,1,130.58,1,657,Good
14,1014,4,289,1199,24,4,49.96,2,482,Bad
15,1015,4,641,1403,15,2,93.53,1,528,Good
16,1016,1,32,1282,24,4,53.42,1,603,Bad
17,1017,1,248,2424,24,4,101.0,2,529,Good
18,1018,6,529,8072,30,2,269.07,3,579,Good
19,1019,5,272,12579,24,4,524.12,1,542,Bad
20,1020,1,570,3430,24,3,142.92,1,607,Good
21,1021,4,357,2134,9,4,237.11,3,503,Good
22,1022,1,11,2647,6,2,441.17,1,513,Good
23,1023,4,201,2241,10,1,224.1,2,372,Good
24,1024,5,534,1804,12,3,150.33,1,457,Good
25,1025,3,442,2069,10,2,206.9,2,473,Good
26,1026,3,357,1374,6,1,229.0,1,593,Good
27,1027,1,194,426,6,4,71.0,1,685,Good
28,1028,1,265,409,12,3,34.08,2,721,Good
29,1029,1,437,2415,7,3,345.0,1,601,Good
30,1030,6,126,6836,60,3,113.93,2,531,Bad
31,1031,6,114,1913,18,3,106.28,1,601,Good
32,1032,3,482,4020,24,2,167.5,1,645,Good
33,1033,4,118,5866,18,2,325.89,2,619,Good
34,1034,6,462,1264,12,4,105.33,1,488,Good
35,1035,3,446,1474,12,4,122.83,1,694,Good
36,1036,1,335,4746,45,4,105.47,2,463,Bad
37,1037,2,52,6110,48,1,127.29,1,436,Good
38,1038,1,584,2100,18,4,116.67,1,641,Bad
39,1039,7,154,1225,10,2,122.5,1,660,Good
40,1040,1,479,458,9,4,50.89,1,685,Good
41,1041,1,97,2333,30,4,77.77,1,702,Good
42,1042,1,378,1158,12,3,96.5,1,685,Good
43,1043,8,464,6204,18,2,344.67,1,526,Good
44,1044,5,240,6187,30,1,206.23,2,440,Good
45,1045,5,85,6143,48,4,127.98,2,405,Bad
46,1046,4,55,1393,11,4,126.64,2,438,Good
47,1047,1,281,2299,36,4,63.86,1,666,Good
