ID_Prestamo,Edad,Rango_Edad,Genero,Estado_Civil,Trabajo,Empleo_Desde,Vivienda,Propiedad,Status_Cuenta,Cuenta_Ahorro,Historial_Crediticio,Proposito,Monto_Credito,Duracion_Meses,Tasa_Cuota,Cuota_Mensual,Score_Cliente,Categoria_Score,Rango_Monto,Creditos_Existentes,Personas_Dependientes,Otros_Deudores,Otros_Planes_Cuota,Telefono,Extranjero,Riesgo,Fecha_Solicitud,Anio,Mes,Nombre_Mes,Trimestre,Dia_Semana
1,67,50+ (Senior),Masculino,Soltero/a,Empleado calificado,>= 7 años,Propia,Bienes raíces,< 0 DM (Sobregiro),Sin cuenta de ahorro,Cuenta crítica / créditos en otros bancos,Radio/Televisión,1169,6,4,194.83,524,Alto Riesgo (501-600),Pequeño (1K-3K),2,1,Ninguno,Ninguno,Sí,Sí,Good,2023-08-17,2023,8,August,3,Thursday
2,22,18-25 (Joven),Femenino,Casado/a,Empleado calificado,1 - 4 años,Propia,Bienes raíces,0 - 200 DM (Bajo balance),< 100 DM,Créditos existentes pagados puntualmente,Radio/Televisión,5951,48,2,123.98,645,Riesgo Medio (601-700),Grande (5K-10K),1,1,Ninguno,Ninguno,No,Sí,Bad,2023-02-21,2023,2,February,1,Tuesday
3,49,36-50 (Adulto),Masculino,Soltero/a,No calificado - Residente,4 - 7 años,Propia,Bienes raíces,Sin cuenta corriente,< 100 DM,Cuenta crítica / créditos en otros bancos,Educación,2096,12,2,174.67,529,Alto Riesgo (501-600),Pequeño (1K-3K),1,2,Ninguno,Ninguno,No,Sí,Good,2024-07-17,2024,7,July,3,Wednesday
4,45,36-50 (Adulto),Masculino,Soltero/a,Empleado calificado,4 - 7 años,Gratuita,Seguro de vida / Ahorro,< 0 DM (Sobregiro),< 100 DM,Créditos existentes pagados puntualmente,Muebles/Equipamiento,7882,42,2,187.67,595,Alto Riesgo (501-600),Grande (5K-10K),1,2,Garante,Ninguno,No,Sí,Good,2024-05-16,2024,5,May,2,Thursday
5,53,50+ (Senior),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Gratuita,Sin propiedad conocida,< 0 DM (Sobregiro),< 100 DM,Retraso en pagos pasados,Auto (Nuevo),4870,24,3,202.92,432,Muy Alto Riesgo (300-500),Mediano (3K-5K),2,2,Ninguno,Ninguno,No,Sí,Bad,2024-04-02,2024,4,April,2,Tuesday
6,35,26-35 (Adulto Joven),Masculino,Soltero/a,No calificado - Residente,1 - 4 años,Gratuita,Sin propiedad conocida,Sin cuenta corriente,Sin cuenta de ahorro,Créditos existentes pagados puntualmente,Educación,9055,36,2,251.53,512,Alto Riesgo (501-600),Grande (5K-10K),1,2,Ninguno,Ninguno,Sí,Sí,Good,2023-10-13,2023,10,October,4,Friday
7,53,50+ (Senior),Masculino,Soltero/a,Empleado calificado,>= 7 años,Propia,Seguro de vida / Ahorro,Sin cuenta corriente,500 - 1000 DM,Créditos existentes pagados puntualmente,Muebles/Equipamiento,2835,24,3,118.12,697,Riesgo Medio (601-700),Pequeño (1K-3K),1,1,Ninguno,Ninguno,No,Sí,Good,2023-07-29,2023,7,July,3,Saturday
8,35,26-35 (Adulto Joven),Masculino,Soltero/a,Alta gerencia / Autónomo,1 - 4 años,Alquiler,Auto u otros bienes,0 - 200 DM (Bajo balance),< 100 DM,Créditos existentes pagados puntualmente,Auto (Usado),6948,36,2,193.0,633,Riesgo Medio (601-700),Grande (5K-10K),1,1,Ninguno,Ninguno,Sí,Sí,Good,2023-06-28,2023,6,June,2,Wednesday
9,61,50+ (Senior),Masculino,Divorciado/a,No calificado - Residente,4 - 7 años,Propia,Bienes raíces,Sin cuenta corriente,>= 1000 DM,Créditos existentes pagados puntualmente,Radio/Televisión,3059,12,2,254.92,585,Alto Riesgo (501-600),Mediano (3K-5K),1,1,Ninguno,Ninguno,No,Sí,Good,2025-05-14,2025,5,May,2,Wednesday
10,28,26-35 (Adulto Joven),Masculino,Casado/a,Alta gerencia / Autónomo,Desempleado,Propia,Auto u otros bienes,0 - 200 DM (Bajo balance),< 100 DM,Cuenta crítica / créditos en otros bancos,Auto (Nuevo),5234,30,4,174.47,476,Muy Alto Riesgo (300-500),Grande (5K-10K),2,1,Ninguno,Ninguno,No,Sí,Bad,2023-03-07,2023,3,March,1,Tuesday
11,25,18-25 (Joven),Femenino,Casado/a,Empleado calificado,< 1 año,Alquiler,Auto u otros bienes,0 - 200 DM (Bajo balance),< 100 DM,Créditos existentes pagados puntualmente,Auto (Nuevo),1295,12,3,107.92,596,Alto Riesgo (501-600),Pequeño (1K-3K),1,1,Ninguno,Ninguno,No,Sí,Bad,2023-03-03,2023,3,March,1,Friday
12,24,18-25 (Joven),Femenino,Casado/a,Empleado calificado,< 1 año,Alquiler,Seguro de vida / Ahorro,< 0 DM (Sobregiro),< 100 DM,Créditos existentes pagados puntualmente,Negocio,4308,48,3,89.75,536,Alto Riesgo (501-600),Mediano (3K-5K),1,1,Ninguno,Ninguno,No,Sí,Bad,2023-07-11,2023,7,July,3,Tuesday
